6/24,Dodgers,L 2-5,39-31,Howell(3-1),Hendricks(2-4)
6/25,Dodgers,L 0-4,39-32,Frias(5-5),Lester(4-6)
6/26,at Cardinals,L 2-3,39-33,Maness(2-0),Grimm(1-2)
6/27,at Cardinals,L 1-8,39-34,Wacha(10-3),Roach(0-1)
6/28,at Cardinals,L 1-4,39-35,Martinez(9-3),Hammel(5-3)
6/30,at Mets,W 1-0,40-35,Hendricks(3-4),Niese(3-8)
7/1,at Mets,W 2-0,41-35,Motte(6-1),Torres(2-4)
7/2,at Mets,W 6-1,42-35,Arrieta(8-5),deGrom(8-6)
7/3,Marlins,L 1-2,42-36,Koehler(7-4),Hammel(5-4)
7/4,Marlins,W 7-2,43-36,Richard(1-0),Cosart(1-4)
7/5,Marlins,W 2-0,44-36,Hendricks(4-4),Latos(3-6)
7/6,Cardinals,L 0-6,44-37,Lackey(7-5),Lester(4-7)
7/7,Cardinals,W 7-4,45-37,Arrieta(9-5),Lyons(2-1)
7/7,Cardinals,W 5-3,46-37,Wood(5-3),Maness(3-1)
7/8,Cardinals,L 5-6,46-38,Socolovich(3-1),Strop(1-4)
7/10,White Sox,L 0-1,46-39,Petricka(3-2),Rondon(3-2)
7/11,White Sox,L 1-5,46-40,Sale(8-4),Lester(4-8)
7/12,White Sox,W 3-1,47-40,Arrieta(10-5),Quintana(4-9)
7/17,at Braves,L 2-4,47-41,Vizcaino(1-0),Strop(1-5)
7/18,at Braves,W 4-0,48-41,Lester(5-8),Banuelos(1-1)
7/19,at Braves,W 4-1,49-41,Arrieta(11-5),Miller(5-6)
7/20,at Reds,L 4-5,49-42,Mattheus(1-1),Grimm(1-3)
7/21,at Reds,W 5-4,50-42,Motte(7-1),Adcock(1-2)
7/22,at Reds,L 1-9,50-43,Leake(8-5),Hendricks(4-5)
7/22,at Reds,W 6-5,51-43,Rondon(4-2),Chapman(3-4)
7/24,Phillies,L 3-5,51-44,Giles(5-2),Russell(0-2)
7/25,Phillies,L 0-5,51-45,Hamels(6-7),Arrieta(11-6)
7/26,Phillies,L 5-11,51-46,Nola(1-1),Hammel(5-5)
7/27,Rockies,W 9-8,52-46,Soriano(1-0),Axford(3-4)
7/28,Rockies,L 2-7,52-47,Flande(1-1),Beeler(0-1)
7/29,Rockies,W 3-2,53-47,Lester(6-8),Butler(3-7)
7/30,at Brewers,W 5-2,54-47,Soriano(2-0),Smith(4-2)
7/31,at Brewers,W 4-1,55-47,Hammel(6-5),Jungmann(5-3)
8/1,at Brewers,W 4-2,56-47,Hendricks(5-5),Garza(5-12)
8/2,at Brewers,W 4-3,57-47,Richard(2-0),Lohse(5-13)
8/3,at Pirates,Postponed,57-47,Watson(2-1),Grimm(1-3)
8/4,at Pirates,W 5-0,58-47,Arrieta(12-6),Happ(0-1)
8/5,at Pirates,L 5-7,58-48,Bastardo(3-1),Wood(5-4)
8/6,Giants,W 5-4,59-48,Grimm(2-3),Heston(11-6)
8/7,Giants,W 7-3,60-48,Lester(7-8),Vogelsong(7-8)
8/8,Giants,W 8-6,61-48,Hendricks(6-5),Cain(2-3)
8/9,Giants,W 2-0,62-48,Arrieta(13-6),Peavy(2-5)
8/11,Brewers,W 6-3,63-48,Haren(1-0),Jungmann(6-4)
8/12,Brewers,W 3-2,64-48,Hunter(1-0),Blazek(5-3)
8/13,Brewers,W 9-2,65-48,Lester(8-8),Cravy(0-4)
8/14,at White Sox,W 6-5,66-48,Richard(3-0),Samardzija(8-8)
8/15,at White Sox,W 6-3,67-48,Arrieta(14-6),Quintana(6-10)
8/16,at White Sox,L 1-3,67-49,Sale(11-7),Haren(1-1)
8/18,Tigers,L 8-10,67-50,Alburquerque(3-0),Strop(1-6)
8/19,Tigers,L 8-15,67-51,Feliz(2-1),Lester(8-9)
8/20,Braves,W 7-1,68-51,Arrieta(15-6),Foltynewicz(4-5)
8/21,Braves,W 5-3,69-51,Motte(8-1),Miller(5-10)
8/22,Braves,W 9-7,70-51,Strop(2-6),Jackson(0-1)
8/23,Braves,W 9-3,71-51,Hammel(7-5),Wisler(5-4)
8/24,Indians,W 2-1,72-51,Rondon(5-2),McAllister(3-4)
8/25,at Giants,W 8-5,73-51,Arrieta(16-6),Cain(2-4)
8/26,at Giants,L 2-4,73-52,Peavy(4-6),Hendricks(6-6)
8/27,at Giants,L 1-9,73-53,Bumgarner(16-6),Haren(1-2)
8/28,at Dodgers,L 1-4,73-54,Kershaw(11-6),Hammel(7-6)
8/29,at Dodgers,L 2-5,73-55,Howell(5-1),Lester(8-10)
8/30,at Dodgers,W 2-0,74-55,Arrieta(17-6),Wood(2-3)
8/31,Reds,L 6-13,74-56,Mattheus(2-4),Grimm(2-4)
9/1,Reds,W 5-4,75-56,Rodney(1-0),Badenhop(1-4)
9/2,Reds,L 4-7,75-57,Hoover(7-0),Rondon(5-3)
9/4,D-backs,W 14-5,76-57,Lester(9-10),Godley(4-1)
9/5,D-backs,W 2-0,77-57,Arrieta(18-6),Ray(3-11)
9/6,D-backs,W 6-4,78-57,Grimm(3-4),De La Rosa(12-7)
9/7,at Cardinals,W 9-0,79-57,Haren(2-2),Lynn(11-9)
9/8,at Cardinals,W 8-5,80-57,Hammel(8-6),Wacha(15-5)
9/9,at Cardinals,L 3-4,80-58,Broxton(1-2),Richard(3-1)
9/10,at Phillies,Postponed,80-58,Hendricks(6-6),Asher(0-2)
9/11,at Phillies,W 5-1,81-58,Arrieta(19-6),Morgan(5-6)
9/11,at Phillies,W 7-3,82-58,Hendricks(7-6),Asher(0-3)
9/12,at Phillies,L 5-7,82-59,Giles(6-2),Rondon(5-4)
9/13,at Phillies,L 4-7,82-60,Hinojosa(1-0),Richard(3-2)
9/15,at Pirates,L 4-5,82-61,Watson(4-1),Grimm(3-5)
9/15,at Pirates,W 2-1,83-61,Lester(10-10),Happ(5-2)
9/16,at Pirates,W 3-2,84-61,Rondon(6-4),Worley(4-6)
