6/22,Cardinals,L 2-7,47-23,Wacha(3-7),Arrieta(11-2)
6/23,at Marlins,L 2-4,47-24,Barraclough(4-2),Strop(1-2)
6/24,at Marlins,W 5-4,48-24,Cahill(1-2),Dunn(0-1)
6/25,at Marlins,L 6-9,48-25,Clemens(1-0),Lackey(7-4)
6/26,at Marlins,L 1-6,48-26,Fernandez(10-3),Hammel(7-4)
6/27,at Reds,W 11-8,49-26,Arrieta(12-2),Straily(4-5)
6/28,at Reds,W 7-2,50-26,Patton(1-0),Hoover(1-2)
6/29,at Reds,W 9-2,51-26,Hendricks(6-6),Reed(0-2)
6/30,at Mets,L 3-4,51-27,Goeddel(1-0),Peralta(0-1)
7/1,at Mets,L 2-10,51-28,deGrom(4-4),Hammel(7-5)
7/2,at Mets,L 3-4,51-29,Colon(7-4),Arrieta(12-3)
7/3,at Mets,L 3-14,51-30,Syndergaard(9-3),Lester(9-4)
7/4,Reds,W 10-4,52-30,Hendricks(7-6),Reed(0-3)
7/5,Reds,L 5-9,52-31,Finnegan(4-7),Lackey(7-5)
7/6,Reds,L 3-5,52-32,DeSclafani(3-0),Cahill(1-3)
7/7,Braves,L 3-4,52-33,Alvarez(3-1),Patton(1-1)
7/8,at Pirates,L 4-8,52-34,Feliz(3-0),Arrieta(12-4)
7/9,at Pirates,L 6-12,52-35,Caminero(1-2),Warren(3-2)
7/10,at Pirates,W 6-5,53-35,Strop(2-2),Watson(1-3)
7/15,Rangers,W 6-0,54-35,Hendricks(8-6),Perez(7-6)
7/16,Rangers,W 3-1,55-35,Hammel(8-5),Darvish(2-1)
7/17,Rangers,L 1-4,55-36,Hamels(10-2),Lackey(7-6)
7/18,Mets,W 5-1,56-36,Lester(10-4),Matz(7-6)
7/19,Mets,L 1-2,56-37,Robles(4-3),Rondon(1-2)
7/20,Mets,W 6-2,57-37,Hendricks(9-6),Colon(8-5)
7/22,at Brewers,W 5-2,58-37,Hammel(9-5),Nelson(6-8)
